Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Toyota,Yaris,G (O),974000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,J (O) Cvt,935000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,G (O) Cvt,1083000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,V (O) Cvt,1317000,1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Skoda,Octavia,Ambition 1.4 Tsi,1599599,1395 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Ambition2.0 Tdi Cr,1799599,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Style 1.4 Tsi,1899599,1395 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,16
Skoda,Octavia,Style 1.8 Tsi At,2059599,1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,14
Skoda,Octavia,Style2.0 Tdi Cr,2079599,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Style2.0 Tdi Cr At,2299599,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
Skoda,Octavia,L & K 1.8 Tsi At,2359599,1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,14
Skoda,Octavia,L & K2.0 Tdi Cr At,2359599,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Corporate Edition 1.4 Tsi,1549000,1395 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,16
Skoda,Octavia,Corporate Edition2.0 Tdi,1699000,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Onyx 1.8 Tsi Dsg,1999599,1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1476,4670,1814,Sedan,4,,
Skoda,Octavia,Onyx2.0 Tdi Dsg,2199599,1968 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1476,4670,1814,Sedan,4,,
,Mercedes-Benz Glc,200 Progressive,275000,1991 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,Front Transverse,Injection,66,Petrol,1644,4658,1890,SUV,5,,
,Mercedes-Benz Glc,20D 4Matic Progressive,5775000,1950 cc,4,4,AWD (All Wheel Drive),In-line,BS 6,Front Transverse,Injection,50,Diesel,1644,4658,1890,SUV,5,,
Porsche,Cayenne Coupe,Base,13151000,2995 cc,6,4,AWD (All Wheel Drive),V,BS 6,Front Longitudinal,Injection,75,Petrol,1676,4931,2194,,,,
Porsche,Cayenne Coupe,Turbo,19763000,2995 cc,8,4,AWD (All Wheel Drive),V,BS 6,Front Longitudinal,Injection,90,Petrol,1676,4931,2194,,,,
Mahindra,Verito,1.5 2,748370,1461 cc,4,3,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1540,277,1740,Sedan,4,18.00,20.08
Mahindra,Verito,1.5 D4 Bs-Iv,72617,1461 cc,4,3,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1540,277,1740,Sedan,4,18.00,20.08
